,Word,Mean Accuracy,Mean RT,Standard Deviation RT,Truth,Category
0,sword,0.9333333333333333,1.1622222222222225,0.8018962218499871,w,high_none
1,tea,0.9555555555555556,0.8257333333333332,0.2703170484203071,w,low_none
2,jears,0.9333333333333333,1.3313333333333333,0.6439266003720195,n,nonse_high
3,title,0.9777777777777777,1.0168,0.5297071559938672,w,low_med
4,dust,1.0,0.8731333333333333,0.40536976809931063,w,med_med
5,meel,0.8888888888888888,1.2184444444444444,0.6192711327055938,n,nonse_low
6,phomy,0.8888888888888888,1.4620444444444445,0.6402187805067736,n,nonse_none
7,fible,0.7777777777777778,1.2845777777777778,0.4611883919175614,n,nonse_med
8,grain,1.0,0.8812888888888891,0.3010947892255285,w,low_high
9,amose,0.8222222222222222,1.2859333333333332,0.5773174516676246,n,nonse_none
10,shock,0.9333333333333333,0.8600222222222222,0.30145281472590835,w,high_high
11,lates,0.6888888888888889,1.5107111111111107,0.8480958966275827,n,nonse_high
12,flame,1.0,0.7910222222222222,0.2779664639155745,w,high_med
13,romance,0.9777777777777777,0.9957333333333334,0.5264604828474784,w,high_low
14,tex,0.9333333333333333,1.4714222222222222,1.1602610527882438,n,nonse_med
15,whool,0.4444444444444444,1.3578666666666668,0.7331370828311866,n,nonse_med
16,tovel,0.6,1.2712444444444444,0.757071526212992,n,nonse_none
17,pupil,0.9111111111111111,1.0282444444444445,0.4494593372069036,w,med_low
18,air,1.0,0.6806222222222224,0.2110553680792358,w,med_none
19,detry,0.9555555555555556,1.054111111111111,0.359318813696894,n,nonse_low
20,liberty,0.9777777777777777,0.8599555555555557,0.24774323227043454,w,med_high
21,slame,0.8888888888888888,1.276311111111111,0.6138427892193108,n,nonse_low
22,blanket,0.9555555555555556,0.9460666666666664,0.4378144406531658,w,low_low
23,mill,0.8444444444444444,1.0338444444444446,0.42521586442420595,w,low_none
24,utoa,1.0,0.9079111111111111,0.2505031223777214,n,nonse_med
25,manner,0.9777777777777777,0.8882444444444445,0.3306668115292395,w,med_high
26,bagle,0.5555555555555556,1.2822888888888886,0.7042299378981972,n,nonse_high
27,riot,0.9333333333333333,0.941488888888889,0.40630555673298246,w,high_low
28,shick,0.9333333333333333,1.0380444444444445,0.34860923399229016,n,nonse_low
29,level,1.0,0.7152222222222221,0.17123160259833772,w,low_med
30,minur,1.0,1.1852666666666667,1.0385606150394455,n,nonse_low
31,sex,1.0,0.7470666666666665,0.44014701584306526,w,high_high
32,abuse,0.9777777777777777,0.7754666666666665,0.23997681369480495,w,high_none
33,ciat,0.9777777777777777,1.050022222222222,0.6509634394543006,n,nonse_none
34,dright,0.8,1.2209333333333334,0.6176831046562451,n,nonse_med
35,glory,0.9777777777777777,0.7654222222222221,0.25638187567150583,w,high_med
36,aud,1.0,0.8661333333333334,0.3574378951494775,n,nonse_none
37,area,1.0,0.7633333333333334,0.2612097496904228,w,low_high
38,jeans,1.0,0.7108222222222222,0.18897151918140573,w,med_med
39,mea,0.9555555555555556,0.8076444444444443,0.2193377056864653,n,nonse_none
40,flart,0.9111111111111111,0.9255777777777778,0.2931209449955116,n,nonse_low
41,cable,0.8888888888888888,1.0052444444444442,0.7025523042784171,w,med_low
42,grage,0.9333333333333333,1.2565999999999997,0.9069773095287446,n,nonse_high
43,dums,0.8,1.0873555555555554,0.608717382171747,n,nonse_high
44,sparket,0.8444444444444444,1.2283111111111114,0.5166032142637658,n,nonse_high
45,reply,1.0,0.7490666666666667,0.24105955004244628,w,med_none
46,lack,0.9111111111111111,0.923511111111111,0.3680676038279575,w,low_low
47,swork,0.9555555555555556,0.985977777777778,0.35997422678660945,n,nonse_mid
